"alaska47","04-21-2021 13:53:55","entered website","1"
"alaska47","04-21-2021 13:54:06","opened education section","1"
"alaska47","04-21-2021 13:54:09","clicked education_up button","1"
"alaska47","04-21-2021 13:54:14","opened work section","1"
"alaska47","04-21-2021 13:54:29","clicked work2_down button","1"
"alaska47","04-21-2021 13:54:31","clicked work2_up button","1"
"alaska47","04-21-2021 13:54:34","opened misc section","1"
"alaska47","04-21-2021 13:56:34","opened work section","1"
"alaska50","04-01-2021 18:02:48","entered website","1"
"alaska50","04-01-2021 18:03:26","clicked notes_up button","1"
"alaska50","04-01-2021 18:02:51","opened education section","1"
"alaska50","04-01-2021 18:02:57","clicked notes_down button","1"
"alaska50","04-01-2021 18:02:57","unclicked notes_down button","1"
"alaska50","04-01-2021 18:02:59","clicked notes_up button","1"
"alaska50","04-01-2021 18:02:59","unclicked notes_up button","1"
"alaska50","04-01-2021 18:03:00","clicked notes_q button","1"
"alaska50","04-01-2021 18:03:01","unclicked notes_q button","1"
"alaska50","04-01-2021 18:03:04","opened work section","1"
"air13","04-11-2021 15:19:35","entered website","2"
"air13","04-11-2021 15:19:51","opened education section","2"
"air13","04-11-2021 15:19:56","closed education section","2"
"air13","04-11-2021 15:19:58","opened work section","2"
"air13","04-11-2021 15:20:09","clicked work1_up button","2"
"air13","04-11-2021 15:20:20","clicked work2_up button","2"
"air13","04-11-2021 15:20:22","opened misc section","2"
"air13","04-11-2021 15:20:27","clicked misc_up button","2"
"air14","04-15-2021 06:43:20","entered website","2"
"air14","04-15-2021 06:43:42","clicked misc_up button","2"
"air14","04-15-2021 06:43:25","opened education section","2"
"air14","04-15-2021 06:43:27","opened work section","2"
"air14","04-15-2021 06:43:34","opened education section","2"
"air14","04-15-2021 06:43:35","clicked education_up button","2"
"air14","04-15-2021 06:43:36","opened work section","2"
"air14","04-15-2021 06:43:38","clicked work1_up button","2"
"air14","04-15-2021 06:43:39","clicked work2_up button","2"
"air14","04-15-2021 06:43:40","opened misc section","2"
"air19","3/12/2021, 13:52:55","entered website","2"
"air37","04-20-2021 02:46:01","entered website","2"
"air37","04-20-2021 02:46:09","opened education section","2"
"air37","04-20-2021 02:46:13","opened work section","2"
"air37","04-20-2021 02:46:26","opened misc section","2"
"air4","04-09-2021 15:11:21","entered website","2"
"air4","04-09-2021 15:11:25","opened education section","2"
"air4","04-09-2021 15:11:30","opened work section","2"
"air4","04-09-2021 15:11:41","opened misc section","2"
"air50","04-21-2021 13:07:12","entered website","2"
"air50","04-21-2021 13:07:15","opened education section","2"
"air50","04-21-2021 13:07:17","opened work section","2"
"air50","04-21-2021 13:07:21","clicked work1_q button","2"
"air50","04-21-2021 13:07:23","clicked work2_q button","2"
"air50","04-21-2021 13:07:24","opened misc section","2"
"air55","04-14-2021 13:42:10","entered website","2"
"air55","04-14-2021 13:42:15","clicked notes_q button","2"
"air55","04-14-2021 13:42:17","opened education section","2"
"air55","04-14-2021 13:42:19","clicked education_q button","2"
"air55","04-14-2021 13:42:29","opened work section","2"
"air55","04-14-2021 13:42:31","clicked work1_down button","2"
"air55","04-14-2021 13:42:33","clicked work2_down button","2"
"air90","04-11-2021 12:19:14","entered website","2"
"air90","04-11-2021 12:19:21","opened education section","2"
"air90","04-11-2021 12:19:26","clicked education_up button","2"
"air90","04-11-2021 12:19:28","opened work section","2"
"air90","04-11-2021 12:19:42","clicked work1_q button","2"
"air90","04-11-2021 12:19:46","opened misc section","2"
"air90","04-11-2021 12:19:54","clicked misc_down button","2"
"alaska100","04-11-2021 18:18:50","entered website","2"
"alaska100","04-11-2021 18:19:04","clicked notes_q button","2"
"alaska100","04-11-2021 18:19:13","clicked notes_up button","2"
"alaska100","04-11-2021 18:19:15","clicked notes_down button","2"
"alaska100","04-11-2021 18:19:19","opened education section","2"
"alaska100","04-11-2021 18:19:24","opened work section","2"
