code,candidate,woman,parent
dive82,2,Man,Parent
drink100,2,Woman,Non-parent
drink17,2,Woman,Parent
drink20,2,Woman,Parent
drink51,2,Man,Non-parent
drink55,2,Woman,Parent
drink68,2,Man,Parent
drink74,2,Woman,Parent
drink78,2,Woman,Parent
drink81,2,Woman,Parent
drink84,2,Woman,Non-parent
drink9,2,Woman,Non-parent
east47,2,Man,Non-parent
east50,2,Man,Parent
east62,2,Woman,Parent
east74,2,Woman,Non-parent
east82,2,Man,Non-parent
east89,2,Man,Non-parent
east90,2,Man,Non-parent
eat13,2,Woman,Non-parent
eat15,2,Woman,Non-parent
eat28,2,Man,Parent
eat33,2,Man,Non-parent
eat34,2,Woman,Non-parent
eat37,2,Woman,Non-parent
eat38,2,Man,Parent
eat47,2,Man,Non-parent
eat49,2,Woman,Parent
eat5,2,Man,Parent
eat54,2,Man,Non-parent
eat58,2,Woman,Non-parent
eat72,2,Woman,Non-parent
eat73,2,Woman,Parent
eat98,2,Woman,Non-parent
eggs11,2,Man,Parent
eggs29,2,Woman,Parent
eggs36,2,Man,Non-parent
eggs45,2,Man,Parent
eggs59,2,Man,Non-parent
eggs6,2,Woman,Non-parent
eggs61,2,Woman,Non-parent
eggs67,2,Man,Parent
eggs7,2,Woman,Non-parent
eggs83,2,Woman,Non-parent
eggs85,2,Woman,Parent
eggs91,2,Man,Non-parent
eggs94,2,Woman,Non-parent
fall10,2,Woman,Parent
fall100,2,Woman,Non-parent
fall19,2,Man,Parent
fall22,2,Man,Non-parent
fall33,2,Woman,Parent
fall64,2,Woman,Parent
fall65,2,Man,Parent
fall85,2,Man,Parent
fall86,2,Man,Parent
fall91,2,Woman,Non-parent
fall95,2,Man,Non-parent
field12,2,Man,Parent
field2,2,Man,Parent
field3,2,Woman,Non-parent
field59,2,Man,Non-parent
field60,2,Woman,Parent
field62,2,Woman,Non-parent
field7,2,Man,Non-parent
field74,2,Man,Non-parent
field75,2,Woman,Parent
field89,2,Woman,Parent
field98,2,Woman,Non-parent
florida1,2,Woman,Non-parent
florida16,2,Woman,Non-parent
florida26,2,Man,Non-parent
florida3,2,Woman,Parent
florida30,2,Woman,Parent
florida40,2,Woman,Parent
florida48,2,Man,Parent
florida49,2,Woman,Parent
florida62,2,Man,Parent
florida66,2,Man,Parent
florida86,2,Woman,Parent
florida90,2,Man,Non-parent
gold12,2,Woman,Non-parent
gold19,2,Woman,Parent
gold26,2,Woman,Non-parent
gold35,2,Man,Parent
gold43,2,Woman,Parent
gold5,2,Woman,Parent
gold53,2,Man,Parent
gold56,2,Man,Non-parent
gold76,2,Woman,Parent
gold80,2,Woman,Non-parent
gold89,2,Man,Parent
green1,2,Woman,Non-parent
green11,2,Woman,Parent
green18,2,Man,Non-parent
green27,2,Man,Parent
green31,2,Woman,Non-parent
green37,2,Man,Non-parent
green38,2,Woman,Non-parent
green47,2,Man,Parent
green82,2,Man,Parent
green85,2,Man,Non-parent
green93,2,Man,Parent
hike39,2,Woman,Non-parent
hike47,2,Man,Parent
hike61,2,Man,Non-parent
hike65,2,Man,Non-parent
hike70,2,Woman,Parent
hike73,2,Man,Non-parent
hike79,2,Woman,Non-parent
hike81,2,Woman,Non-parent
hike86,2,Man,Non-parent
hike97,2,Man,Parent
hill17,2,Man,Non-parent
hill41,2,Man,Non-parent
hill42,2,Woman,Parent
hill53,2,Man,Parent
hill55,2,Man,Parent
hill75,2,Man,Parent
hill78,2,Man,Parent
hill79,2,Man,Parent
hill94,2,Man,Parent
ice13,2,Woman,Parent
ice16,2,Man,Non-parent
ice19,2,Woman,Non-parent
ice26,2,Woman,Parent
ice43,2,Man,Parent
ice55,2,Woman,Non-parent
ice60,2,Man,Non-parent
ice69,2,Woman,Non-parent
ice89,2,Man,Non-parent
idaho100,2,Man,Non-parent
idaho28,2,Woman,Non-parent
idaho58,2,Woman,Parent
idaho61,2,Man,Non-parent
idaho68,2,Man,Parent
idaho73,2,Woman,Parent
idaho84,2,Man,Non-parent
idaho87,2,Man,Parent
idaho9,2,Man,Parent
island100,2,Man,Parent
island16,2,Woman,Parent
island23,2,Man,Parent
island44,2,Man,Non-parent
island45,2,Woman,Parent
island62,2,Man,Parent
island65,2,Man,Non-parent
island69,2,Woman,Non-parent
island76,2,Man,Non-parent
island88,2,Woman,Parent
island9,2,Man,Parent
island91,2,Man,Parent
island95,2,Woman,Non-parent
jump100,2,Man,Non-parent
jump2,2,Woman,Non-parent
jump31,2,Woman,Parent
jump40,2,Man,Parent
jump49,2,Man,Non-parent
jump60,2,Man,Parent
jump67,2,Man,Non-parent
jump8,2,Man,Parent
jump9,2,Woman,Parent
lake36,2,Man,Non-parent
lake37,2,Man,Non-parent
lake43,2,Man,Parent
lake45,2,Woman,Parent
lake56,2,Woman,Parent
lake62,2,Man,Parent
lake68,2,Man,Non-parent
lake69,2,Man,Parent
lake94,2,Man,Non-parent
left10,2,Man,Non-parent
left18,2,Man,Parent
left22,2,Man,Non-parent
left29,2,Man,Non-parent
left31,2,Man,Non-parent
left33,2,Woman,Parent
left45,2,Man,Parent
left61,2,Man,Non-parent
left67,2,Woman,Parent
left68,2,Man,Parent
left8,2,Woman,Parent
left87,2,Man,Parent
left96,2,Woman,Non-parent
lunch17,2,Man,Non-parent
lunch23,2,Woman,Parent
lunch40,2,Woman,Non-parent
lunch43,2,Woman,Parent
lunch5,2,Woman,Non-parent
lunch64,2,Man,Non-parent
lunch87,2,Man,Parent
lunch89,2,Man,Parent
lunch9,2,Man,Parent
mountain1,2,Man,Parent
mountain23,2,Woman,Parent
mountain27,2,Woman,Parent
mountain3,2,Woman,Parent
mountain43,2,Woman,Parent
mountain45,2,Man,Parent
mountain46,2,Woman,Non-parent
mountain62,2,Woman,Non-parent
mountain73,2,Woman,Non-parent
mountain79,2,Man,Parent
mountain8,2,Woman,Parent
mountain83,2,Man,Parent
mountain9,2,Woman,Non-parent
mountain95,2,Man,Parent
north10,2,Woman,Parent
north13,2,Man,Non-parent
north31,2,Woman,Non-parent
north51,2,Woman,Non-parent
north58,2,Man,Parent
north62,2,Woman,Parent
north65,2,Woman,Parent
north66,2,Woman,Parent
north75,2,Woman,Non-parent
north77,2,Man,Parent
north78,2,Man,Non-parent
north80,2,Man,Parent
ocean14,2,Woman,Non-parent
ocean24,2,Woman,Non-parent
ocean35,2,Woman,Non-parent
ocean4,2,Man,Parent
ocean55,2,Man,Parent
ocean65,2,Woman,Non-parent
ocean70,2,Man,Non-parent
ocean77,2,Woman,Parent
ocean79,2,Man,Parent
ocean88,2,Man,Parent
ocean93,2,Woman,Non-parent
ohio13,2,Man,Parent
ohio36,2,Man,Non-parent
ohio40,2,Man,Non-parent
ohio42,2,Woman,Parent
ohio51,2,Man,Parent
ohio53,2,Man,Non-parent
ohio57,2,Man,Non-parent
ohio62,2,Man,Parent
ohio73,2,Woman,Non-parent
ohio75,2,Man,Non-parent
olive15,2,Man,Parent
olive19,2,Man,Non-parent
olive20,2,Man,Parent
olive30,2,Man,Parent
olive48,2,Man,Non-parent
olive60,2,Man,Non-parent
olive61,2,Woman,Non-parent
olive63,2,Man,Non-parent
olive8,2,Woman,Parent
olive93,2,Woman,Parent
orange23,2,Woman,Parent
orange3,2,Man,Non-parent
orange42,2,Woman,Non-parent
orange6,2,Woman,Parent
orange66,2,Man,Non-parent
orange70,2,Man,Parent
orange75,2,Man,Non-parent
orange77,2,Man,Non-parent
orange78,2,Man,Non-parent
orange8,2,Woman,Non-parent
orange92,2,Woman,Non-parent
orange95,2,Man,Parent
orange98,2,Man,Parent
orange99,2,Woman,Non-parent
pants1,2,Woman,Non-parent
pants13,2,Man,Non-parent
pants14,2,Man,Parent
