x,y,b,se,p,n,p_star
7,12,2.6095879,1.9705647,.1859348,577,
7,13,.14095879,.14030476,.31548247,577,
7,14,5.9633307,4.6492772,.20013644,577,
7,15,-2.8947735,3.7028308,.4346697,577,
7,16,-6.2445631,7.5466843,.40832087,577,
7,17,.041956026,.057166424,.46329191,577,
7,18,.12557971,.12626719,.32037088,577,
7,19,-43.475574,43.480545,.31778643,577,
8,0,0,,,577,
8,1,0,,,577,
8,2,0,,,577,
8,3,0,,,577,
8,4,0,,,577,
8,5,0,,,577,
8,6,16.111498,16.027802,.31521279,577,
8,7,0,,,577,
8,8,-22.165085,22.183887,.31814116,577,
8,9,-1.1033041,1.1231611,.32635516,577,
8,10,141.2906,141.43929,.31823972,577,
8,11,-15.694485,35.351791,.65724462,577,
8,12,-.6594137,2.6306479,.80216199,577,
8,13,-.095530458,.36659563,.79450345,577,
8,14,-19.610477,23.416153,.40267277,577,
8,15,62.670959,58.652702,.28573918,577,
8,16,-453.51041,405.64948,.26403987,577,
8,17,.11178662,.12702093,.37919199,577,
8,18,.48780489,.35539043,.17041537,577,
8,19,5.7027035,17.771502,.74841011,577,
9,0,0,,,577,
9,1,0,,,577,
9,2,.00014417878,.019608079,.99413574,577,
9,3,0,,,577,
9,4,7.3728223,7.3345213,.31521279,577,
9,5,0,,,577,
9,6,0,,,577,
9,7,4.0278745,4.0069504,.31521279,577,
9,8,-154.89191,155.78853,.32052198,577,
9,9,-35.161552,45.050392,.43542144,577,
9,10,15.169242,15.09878,.31547993,577,
9,11,149.49677,111.03873,.1787208,577,
9,12,-295.84985,263.81769,.26257816,577,
9,13,144.52551,122.07808,.23695068,577,
9,14,-1.3755016,3.3856649,.68469375,577,
9,15,.015667427,.10750789,.88418341,577,
9,16,15.974144,16.028215,.31936508,577,
9,17,76.73954,75.923996,.31256527,577,
9,18,.013937282,.013864879,.31521279,577,
9,19,-3.3031359,2.7112319,.22360374,577,
10,0,0,,,577,
10,1,0,,,577,
10,2,0,,,577,
10,3,0,,,577,
10,4,0,,,577,
10,5,0,,,577,
10,6,0,,,577,
10,7,0,,,577,
10,8,-25.039673,22.013371,.25581327,577,
10,9,-1.3652289,1.3866725,.32526618,577,
10,10,36.317722,25.893488,.16128139,577,
10,11,-.86810046,.8883006,.32885152,577,
10,12,-6.5063076,6.7120881,.33278221,577,
10,13,10.723248,10.876138,.3245759,577,
10,14,.90909529,1.1474242,.42851707,577,
10,15,-.14393848,1.0272554,.88861465,577,
10,16,-146.28503,147.09462,.32039964,577,
10,17,4.4779286,4.4925256,.3193047,577,
10,18,-.82686532,.889265,.35284927,577,
10,19,-.0080259526,.6487307,.99013329,577,
11,0,0,,,577,
11,1,0,,,577,
11,2,0,,,577,
11,3,-.068965517,.057120834,.22778921,577,
11,4,0,,,577,
11,5,0,,,577,
11,6,0,,,577,
11,7,0,,,577,
11,8,-115.33793,82.62088,.16325621,577,
11,9,-186.88112,277.33203,.50067532,577,
11,10,274.90842,170.93767,.10833202,577,
11,11,-107.93546,242.77483,.65678281,577,
11,12,-83.025253,82.209991,.31295991,577,
11,13,182.5052,165.76102,.27135125,577,
11,14,35.29285,39.04504,.36642644,577,
11,15,29.300541,65.888786,.65670615,577,
11,16,1.4393848,196.67978,.99416333,577,
11,17,72.089104,68.308769,.29171222,577,
11,18,464.11893,449.25989,.30200335,577,
11,19,-6.6999879,8.1684322,.41242525,577,
