x,y,b,se,p,n,p_star
7,14,.029411765,.021071613,.16335468,536,
7,15,-.015151516,.014926612,.31053346,536,
7,16,0,,,536,
7,17,0,,,536,
7,18,0,,,536,
7,19,0,,,536,
8,0,0,,,536,
8,1,0,,,536,
8,2,0,,,536,
8,3,0,,,536,
8,4,0,,,536,
8,5,2.1323528,2.149549,.32164675,536,
8,6,-33.469696,32.972885,.31053346,536,
8,7,-7.7972369,7.8997626,.32407904,536,
8,8,-8.5967026,7.9059315,.27736223,536,
8,9,2.2820857,2.1979277,.29960513,536,
8,10,.012477718,.52462894,.98103386,536,
8,11,.71390373,1.1177236,.52328396,536,
8,12,-7.3542781,5.5010252,.18182704,536,
8,13,-.27852049,.3989749,.48542461,536,
8,14,.014705882,.014927447,.32499298,536,
8,15,-.030303031,.021069247,.15094642,536,
8,16,.029411765,.021071613,.16335468,536,
8,17,.014705882,.014927447,.32499298,536,
8,18,0,,,536,
8,19,0,,,536,
9,0,0,,,536,
9,1,0,,,536,
9,2,0,,,536,
9,3,0,,,536,
9,4,0,,,536,
9,5,-29.469696,28.897722,.3082884,536,
9,6,-327.43985,322.54901,.31048781,536,
9,7,.069518715,.10139927,.49326679,536,
9,8,61.706772,61.150238,.31338316,536,
9,9,-1.9532086,2.1563535,.36545426,536,
9,10,-.16889483,.63893116,.79162019,536,
9,11,6.0833335,4.4687347,.17398986,536,
9,12,-175.79056,157.01642,.26340124,536,
9,13,-.53119427,1.7416385,.76048738,536,
9,14,.51381463,.53795308,.3399446,536,
9,15,-.075757578,.061488915,.21847166,536,
9,16,0,,,536,
9,17,0,,,536,
9,18,0,,,536,
9,19,.38235295,.37342957,.30634812,536,
10,0,0,,,536,
10,1,0,,,536,
10,2,0,,,536,
10,3,0,,,536,
10,4,0,,,536,
10,5,5.8823528,5.9709787,.32499298,536,
10,6,-.00089126558,.029798089,.97614986,536,
10,7,.042780749,.044448093,.33624023,536,
10,8,.13903743,.18309321,.44795996,536,
10,9,3.3939395,3.3593974,.31281766,536,
10,10,.077985741,.35481554,.82611686,536,
10,11,-5.3975043,5.3888087,.31698385,536,
10,12,143.92558,146.30301,.32568398,536,
10,13,-.9852941,.74572593,.1869822,536,
10,14,.7348485,.55684572,.18751317,536,
10,15,-.75757575,.73149955,.30083534,536,
10,16,.014705882,.014927447,.32499298,536,
10,17,0,,,536,
10,18,0,,,536,
10,19,0,,,536,
11,0,0,,,536,
11,1,0,,,536,
11,2,0,,,536,
11,3,0,,,536,
11,4,0,,,536,
11,5,5.8823528,5.9709787,.32499298,536,
11,6,19.612745,117.17294,.86713219,536,
11,7,49.45499,50.215881,.32514495,536,
11,8,-75.008469,54.51825,.16944748,536,
11,9,9.1559715,9.3304739,.32689038,536,
11,10,246.70856,185.02686,.18298015,536,
11,11,14.736631,12.117936,.22448385,536,
11,12,-23.16934,300.2572,.93852121,536,
11,13,53.08289,37.340115,.15572475,536,
11,14,-4.6925135,5.4395833,.38871142,536,
11,15,53.803474,133.11139,.68622833,536,
11,16,-.00044563279,.021110008,.9831658,536,
11,17,-30.314617,30.228643,.31639028,536,
11,18,.014705882,.014927447,.32499298,536,
11,19,-.24242425,.2388258,.31053346,536,
