x,y,b,se,p,n,p_star
6,17,.060301822,.06705711,.36894324,506,
6,18,0,,,506,
6,19,-.40816328,.39542904,.30247182,506,
7,0,0,,,506,
7,1,.072624914,.15579732,.64130956,506,
7,2,.33416218,.26970714,.21592902,506,
7,3,0,,,506,
7,4,0,,,506,
7,5,-.0010008601,.022370249,.96433175,506,
7,6,-212.67496,458.44626,.64291698,506,
7,7,-51.268372,47.893089,.28491777,506,
7,8,-16.39609,18.481266,.37540865,506,
7,9,.0083196498,.098413765,.93266267,506,
7,10,.074626632,.072277963,.3023355,506,
7,11,-.0040034405,.044473119,.92830759,506,
7,12,-.0020017202,.031573415,.94947398,506,
7,13,-6.5732741,5.7608838,.25440416,506,
7,14,-5.377121,4.6419988,.24726439,506,
7,15,.27386034,.20325212,.17845932,506,
7,16,-.03565564,.070638962,.61394882,506,
7,17,1.6704981,1.5877632,.29325426,506,
7,18,-.04998045,.06521631,.44380924,506,
7,19,0,,,506,
8,0,0,,,506,
8,1,-.25490656,.32329404,.43079454,506,
8,2,159.87871,158.24657,.3128297,506,
8,3,.045977011,.027293982,.092702076,506,
8,4,.01532567,.015819149,.33310717,506,
8,5,0,,,506,
8,6,6.0440693,259.12247,.98140013,506,
8,7,-6.2401128,22.955502,.78586006,506,
8,8,-34.989193,45.382702,.44107956,506,
8,9,-.13261397,.076958477,.085467771,506,
8,10,-109.81425,106.35435,.30231825,506,
8,11,-231.26831,223.98639,.3023282,506,
8,12,129.39995,131.0152,.32378757,506,
8,13,8.6613188,9.1130152,.34234738,506,
8,14,-.88269609,1.6556349,.59416711,506,
8,15,.072624914,.14580229,.61862701,506,
8,16,.03065134,.022328591,.1704438,506,
8,17,0,,,506,
8,18,-.06530612,.063268647,.30247182,506,
8,19,.01532567,.015819149,.33310717,506,
9,0,.5210728,.4198097,.21510485,506,
9,1,99.431007,299.48001,.74001807,506,
9,2,-420.58688,963.96265,.6627984,506,
9,3,-393.20123,272.8793,.15022412,506,
9,4,.01532567,.015819149,.33310717,506,
9,5,3.9233716,4.0497022,.33310717,506,
9,6,631.6983,387.22992,.10344619,506,
9,7,9.1568069,11.144813,.41168141,506,
9,8,203.60678,168.64311,.22787388,506,
