x,y,b,se,p,n,p_star
6,13,-1.2058823,1.2184432,.32277673,532,
6,14,.015384615,.015040766,.30684012,532,
6,15,-.014705882,.015042047,.32869264,532,
6,16,0,,,532,
6,17,-.014705882,.015042047,.32869264,532,
6,18,0,,,532,
6,19,.015384615,.015040766,.30684012,532,
7,0,30.0375,57.623402,.60239464,532,
7,1,28.438913,31.923891,.373422,532,
7,2,-117.92647,109.2729,.2809929,532,
7,3,41.377544,34.115837,.22572578,532,
7,4,26.038914,25.297522,.30380496,532,
7,5,-5.510181,97.321091,.9548704,532,
7,6,94.009727,91.881783,.30669916,532,
7,7,-95.18959,73.506424,.1958898,532,
7,8,-5.6893663,4.4417038,.20078996,532,
7,9,3.693439,2.853066,.19603893,532,
7,10,-.19705883,.38734594,.61114538,532,
7,11,-9.2359724,352.11438,.97908372,532,
7,12,-.057466064,.067144699,.39246529,532,
7,13,.00067873305,.021271762,.97455764,532,
7,14,0,,,532,
7,15,0,,,532,
7,16,0,,,532,
7,17,0,,,532,
7,18,0,,,532,
7,19,0,,,532,
8,0,93.2948,216.10011,.66612029,532,
8,1,-.13099548,.074652083,.079880498,532,
8,2,244.35045,238.78616,.30663174,532,
8,3,11.778733,12.672144,.35305417,532,
8,4,13.795249,7.8828797,.08069241,532,
8,5,78.46946,77.991409,.31481242,532,
8,6,-2.6970589,8.7321692,.75754583,532,
8,7,-.63846153,4.8720474,.89578879,532,
8,8,-3.7929864,1.9392761,.051004518,532,
8,9,1.7112557,5.5764141,.75905991,532,
8,10,131.188,127.30474,.30324364,532,
8,11,7.4941177,6.1168413,.22105861,532,
8,12,-.013348416,.033533301,.69074297,532,
8,13,-.044117648,.025957273,.089788109,532,
8,14,.015384615,.015040766,.30684012,532,
8,15,-.043438915,.062019639,.48398125,532,
8,16,.00067873305,.021271762,.97455764,532,
8,17,0,,,532,
8,18,0,,,532,
8,19,0,,,532,
9,0,151.67828,118.52106,.20119017,532,
9,1,23.430317,22.876053,.30619437,532,
9,2,-112.58309,205.72073,.58442926,532,
9,3,45.818554,50.106991,.36091498,532,
9,4,.62330317,2.0040586,.75590736,532,
9,5,8.2305431,7.4639187,.27065328,532,
9,6,.52556562,36.667892,.98856962,532,
9,7,-6.0925341,3.8785286,.11681742,532,
9,8,-249.73247,322.43216,.43896449,532,
9,9,138.60068,135.81624,.30795625,532,
9,10,.066968329,1.1697253,.95436656,532,
9,11,-34.17466,109.46961,.75502348,532,
9,12,.19366516,.32100359,.54655957,532,
9,13,-.043438915,.033485197,.19510707,532,
9,14,-.029411765,.021233382,.16658434,532,
9,15,.00067873305,.021271762,.97455764,532,
9,16,0,,,532,
9,17,0,,,532,
9,18,0,,,532,
9,19,0,,,532,
10,0,1.1230769,.96593654,.24548183,532,
10,1,3.4515836,3.3846576,.30830121,532,
10,2,-.015271493,.10024988,.87898123,532,
10,3,-4.0554299,2.8390274,.15374926,532,
10,4,35.458313,31.994177,.26824617,532,
10,5,-11.246606,14.752503,.44618887,532,
10,6,-58.064026,59.708542,.33126655,532,
10,7,-13.155656,11.061011,.23482591,532,
